id,SurveyNum,Avrage_PR,Trans_lengthm,Lionfish_size_TL,Habitat_type,Lionfish_visibility,Lionfish_behaviour,Adj_behaviour,TOD,Num_attempts,Captured_bin,Mins_elapsed,Hrs_elapsed,Adj_min,Gamma_min,Capturer_name,Proportion_caught,Adj_Prop,Prop_remaining,Cap_Dives,Cap_removals,Cap_exp,Cap_affl,Cap_exp_new,Cap_exp_2821
96,208,0.677419355,15,7,Reef,SH,hover,active,midday,1,0,7.164,0.1194,1.5,1.5,Steve Schalk,0.769230769,0.769230769,0.230769231,NA,NA,High,NRM&CS,High,High
294,2010,0.857142857,46,12,Sand,EXP,rest,rest,midday,1,0,1.764,0.0294,1.764,1.764,Ryan,0.6,0.6,0.4,1500,300,High,NRM&CS,High,High
36,122,0.891891892,47,7,Reef,EXP,hover,active,Crepuscular,1,0,1.998,0.0333,1.998,1.998,Roger,0.555555556,0.555555556,0.444444444,NA,NA,High,NA,High,High
581,5100,0.735442192,NA,15,Reef,EXP,hover,active,Crepuscular,1,0,2,0.0333,2,2,Andy and Chuck,0.6,0.6,0.4,NA,NA,High,Volunteer,High,High
614,5102,0.735442192,NA,23,Reef,EXP,hover,active,Crepuscular,1,0,2,0.0333,2,2,Hale and Sterne,0.786,0.786,0.214,NA,NA,High,Volunteer,High,High
91,208,0.677419355,10,8,Reef,SH,rest,rest,midday,1,0,2.832,0.0472,2.166,2.166,Steve Schalk,0.769230769,0.769230769,0.230769231,NA,NA,High,NRM&CS,High,High
150,379,NA,40,30,Reef,SH,rest,rest,midday,1,0,3,0.05,3,3,Liz,0.5,0.5,0.5,400,200,High,NRM&CS,High,High
155,395,0.529411765,15,23,Reef,SH,rest,rest,midday,1,0,3,0.05,3,3,Liz,0,0.001,1,400,200,High,NRM&CS,High,High
471,2615,0.733333333,1,25,Sponge,EXP,rest,rest,midday,1,0,3,0.05,3,3,Carlos,0.5,0.5,0.5,1272,225,High,Volunteer,High,High
283,1454,0.858974359,23,20,Reef,EXP,swim,active,midday,1,0,3,0.05,3,3,Steve Schalk,0.75,0.75,0.25,NA,NA,High,NRM&CS,High,High
83,207,0.677419355,8,20,Reef,SH,rest,rest,midday,1,0,8.502,0.1417,8.502,8.502,Steve Schalk,0.5,0.5,0.5,NA,NA,High,NRM&CS,High,High
231,1113,0.809523809,30,30,Reef,SH,rest,rest,midday,1,0,NA,NA,0.083333333,1e-8,Colin,0.5,0.5,0.5,250,10,Low,Intern,Low,Low
241,1207,0.8,0,25,Reef,SH,hover,active,midday,1,0,0,0,0.083333333,1e-8,Colin,0,0.001,1,250,10,Low,Intern,Low,Low
1056,5427,0.485620915,NA,38,Reef,SH,hover,active,Crepuscular,1,0,0,0,0.083333333,1e-8,Andy and Tim,0.333333333,0.333333333,0.666666667,NA,NA,Low,Volunteer,Low,Low
1057,5427,0.485620915,NA,24,Reef,SH,rest,rest,Crepuscular,1,0,0,0,0.083333333,1e-8,Andy and Tim,0.333333333,0.333333333,0.666666667,NA,NA,Low,Volunteer,Low,Low
